:START_ID,:END_ID,relation,:TYPE
100264,400264,effect,effect
100265,400265,effect,effect
100266,400266,effect,effect
100267,400267,effect,effect
100268,400268,effect,effect
100269,400269,effect,effect
100270,400270,effect,effect
100271,400271,effect,effect
100272,400272,effect,effect
100273,400273,effect,effect
100274,400274,effect,effect
100275,400275,effect,effect
100276,400276,effect,effect
100277,400277,effect,effect
100278,400278,effect,effect
100279,400279,effect,effect
100280,400280,effect,effect
100281,400281,effect,effect
100282,400282,effect,effect
100283,400283,effect,effect
100284,400284,effect,effect
100285,400285,effect,effect
100286,400286,effect,effect
100287,400287,effect,effect
100288,400288,effect,effect
100289,400289,effect,effect
100290,400290,effect,effect
100291,400291,effect,effect
100292,400292,effect,effect
100293,400293,effect,effect
100294,400294,effect,effect
100295,400295,effect,effect
100296,400296,effect,effect
100297,400297,effect,effect
100298,400298,effect,effect
100299,400299,effect,effect
100300,400300,effect,effect
100301,400301,effect,effect
100302,400302,effect,effect
100303,400303,effect,effect
100304,400304,effect,effect
100305,400305,effect,effect
100306,400306,effect,effect
100307,400307,effect,effect
100308,400308,effect,effect
100309,400309,effect,effect
100310,400310,effect,effect
100311,400311,effect,effect
100312,400312,effect,effect
100313,400313,effect,effect
100314,400314,effect,effect
100315,400315,effect,effect
100316,400316,effect,effect
100317,400317,effect,effect
100318,400318,effect,effect
100319,400319,effect,effect
100320,400320,effect,effect
100321,400321,effect,effect
100322,400322,effect,effect
100323,400323,effect,effect
100324,400324,effect,effect
100325,400325,effect,effect
100326,400326,effect,effect
100327,400327,effect,effect
100328,400328,effect,effect
100329,400329,effect,effect
100330,400330,effect,effect
100331,400331,effect,effect
100332,400332,effect,effect
100333,400333,effect,effect
100334,400334,effect,effect
100335,400335,effect,effect
100336,400336,effect,effect
100337,400337,effect,effect
100338,400338,effect,effect
100339,400339,effect,effect
100340,400340,effect,effect
100341,400341,effect,effect
100342,400342,effect,effect
100343,400343,effect,effect
100344,400344,effect,effect
100345,400345,effect,effect
100346,400346,effect,effect
100347,400347,effect,effect
100348,400348,effect,effect
100349,400349,effect,effect
100350,400350,effect,effect
100351,400351,effect,effect
100352,400352,effect,effect
100353,400353,effect,effect
100354,400354,effect,effect
100355,400355,effect,effect
100356,400356,effect,effect
100357,400357,effect,effect
100358,400358,effect,effect
100359,400359,effect,effect
100360,400360,effect,effect
100361,400361,effect,effect
100362,400362,effect,effect
100363,400363,effect,effect
100364,400364,effect,effect
100365,400365,effect,effect
100366,400366,effect,effect
100367,400367,effect,effect
100368,400368,effect,effect
100369,400369,effect,effect
100370,400370,effect,effect
100371,400371,effect,effect
100372,400372,effect,effect
100373,400373,effect,effect
100374,400374,effect,effect
100375,400375,effect,effect
100376,400376,effect,effect
100377,400377,effect,effect
100378,400378,effect,effect
100379,400379,effect,effect
100380,400380,effect,effect
100381,400381,effect,effect
100382,400382,effect,effect
100383,400383,effect,effect
100384,400384,effect,effect
100385,400385,effect,effect
100386,400386,effect,effect
100387,400387,effect,effect
100388,400388,effect,effect
100389,400389,effect,effect
100390,400390,effect,effect
100391,400391,effect,effect
100392,400392,effect,effect
100393,400393,effect,effect
100394,400394,effect,effect
100395,400395,effect,effect
100396,400396,effect,effect
100397,400397,effect,effect
100398,400398,effect,effect
100399,400399,effect,effect
100400,400400,effect,effect
100401,400401,effect,effect
100402,400402,effect,effect
100403,400403,effect,effect
100404,400404,effect,effect
100405,400405,effect,effect
100406,400406,effect,effect
100407,400407,effect,effect
100408,400408,effect,effect
100409,400409,effect,effect
100410,400410,effect,effect
100411,400411,effect,effect
100412,400412,effect,effect
100413,400413,effect,effect
100414,400414,effect,effect
100415,400415,effect,effect
100416,400416,effect,effect
100417,400417,effect,effect
100418,400418,effect,effect
100419,400419,effect,effect
100420,400420,effect,effect
100421,400421,effect,effect
100422,400422,effect,effect
100423,400423,effect,effect
100424,400424,effect,effect
100425,400425,effect,effect
100426,400426,effect,effect
100427,400427,effect,effect
100428,400428,effect,effect
100429,400429,effect,effect
100430,400430,effect,effect
100431,400431,effect,effect
100432,400432,effect,effect
100433,400433,effect,effect
100434,400434,effect,effect
100435,400435,effect,effect
100436,400436,effect,effect
100437,400437,effect,effect
100438,400438,effect,effect
100439,400439,effect,effect
100440,400440,effect,effect
100441,400441,effect,effect
100442,400442,effect,effect
100443,400443,effect,effect
100444,400444,effect,effect
100445,400445,effect,effect
100446,400446,effect,effect
100447,400447,effect,effect
100448,400448,effect,effect
100449,400449,effect,effect
100450,400450,effect,effect
100451,400451,effect,effect
100452,400452,effect,effect
100453,400453,effect,effect
100454,400454,effect,effect
100455,400455,effect,effect
100456,400456,effect,effect
100457,400457,effect,effect
100458,400458,effect,effect
100459,400459,effect,effect
100460,400460,effect,effect
100461,400461,effect,effect
100462,400462,effect,effect
100463,400463,effect,effect
100464,400464,effect,effect
100465,400465,effect,effect
100466,400466,effect,effect
100467,400467,effect,effect
100468,400468,effect,effect
100469,400469,effect,effect
100470,400470,effect,effect
100471,400471,effect,effect
100472,400472,effect,effect
100473,400473,effect,effect
100474,400474,effect,effect
100475,400475,effect,effect
100476,400476,effect,effect
100477,400477,effect,effect
100478,400478,effect,effect
100479,400479,effect,effect
100480,400480,effect,effect
100481,400481,effect,effect
100482,400482,effect,effect
100483,400483,effect,effect
100484,400484,effect,effect
100485,400485,effect,effect
100486,400486,effect,effect
100487,400487,effect,effect
100488,400488,effect,effect
100489,400489,effect,effect
100490,400490,effect,effect
100491,400491,effect,effect
100492,400492,effect,effect
100493,400493,effect,effect
100494,400494,effect,effect
100495,400495,effect,effect
100496,400496,effect,effect
