:START_ID,:END_ID,relation,:TYPE
300264,100264,belong,belong
300265,100265,belong,belong
300266,100266,belong,belong
300267,100267,belong,belong
300268,100268,belong,belong
300269,100269,belong,belong
300270,100270,belong,belong
300271,100271,belong,belong
300272,100272,belong,belong
300273,100273,belong,belong
300274,100274,belong,belong
300275,100275,belong,belong
300276,100276,belong,belong
300277,100277,belong,belong
300278,100278,belong,belong
300279,100279,belong,belong
300280,100280,belong,belong
300281,100281,belong,belong
300282,100282,belong,belong
300283,100283,belong,belong
300284,100284,belong,belong
300285,100285,belong,belong
300286,100286,belong,belong
300287,100287,belong,belong
300288,100288,belong,belong
300289,100289,belong,belong
300290,100290,belong,belong
300291,100291,belong,belong
300292,100292,belong,belong
300293,100293,belong,belong
300294,100294,belong,belong
300295,100295,belong,belong
300296,100296,belong,belong
300297,100297,belong,belong
300298,100298,belong,belong
300299,100299,belong,belong
300300,100300,belong,belong
300301,100301,belong,belong
300302,100302,belong,belong
300303,100303,belong,belong
300304,100304,belong,belong
300305,100305,belong,belong
300306,100306,belong,belong
300307,100307,belong,belong
300308,100308,belong,belong
300309,100309,belong,belong
300310,100310,belong,belong
300311,100311,belong,belong
300312,100312,belong,belong
300313,100313,belong,belong
300314,100314,belong,belong
300315,100315,belong,belong
300316,100316,belong,belong
300317,100317,belong,belong
300318,100318,belong,belong
300319,100319,belong,belong
300320,100320,belong,belong
300321,100321,belong,belong
300322,100322,belong,belong
300323,100323,belong,belong
300324,100324,belong,belong
300325,100325,belong,belong
300326,100326,belong,belong
300327,100327,belong,belong
300328,100328,belong,belong
300329,100329,belong,belong
300330,100330,belong,belong
300331,100331,belong,belong
300332,100332,belong,belong
300333,100333,belong,belong
300334,100334,belong,belong
300335,100335,belong,belong
300336,100336,belong,belong
300337,100337,belong,belong
300338,100338,belong,belong
300339,100339,belong,belong
300340,100340,belong,belong
300341,100341,belong,belong
300342,100342,belong,belong
300343,100343,belong,belong
300344,100344,belong,belong
300345,100345,belong,belong
300346,100346,belong,belong
300347,100347,belong,belong
300348,100348,belong,belong
300349,100349,belong,belong
300350,100350,belong,belong
300351,100351,belong,belong
300352,100352,belong,belong
300353,100353,belong,belong
300354,100354,belong,belong
300355,100355,belong,belong
300356,100356,belong,belong
300357,100357,belong,belong
300358,100358,belong,belong
300359,100359,belong,belong
300360,100360,belong,belong
300361,100361,belong,belong
300362,100362,belong,belong
300363,100363,belong,belong
300364,100364,belong,belong
300365,100365,belong,belong
300366,100366,belong,belong
300367,100367,belong,belong
300368,100368,belong,belong
300369,100369,belong,belong
300370,100370,belong,belong
300371,100371,belong,belong
300372,100372,belong,belong
300373,100373,belong,belong
300374,100374,belong,belong
300375,100375,belong,belong
300376,100376,belong,belong
300377,100377,belong,belong
300378,100378,belong,belong
300379,100379,belong,belong
300380,100380,belong,belong
300381,100381,belong,belong
300382,100382,belong,belong
300383,100383,belong,belong
300384,100384,belong,belong
300385,100385,belong,belong
300386,100386,belong,belong
