:START_ID,:END_ID,relation,:TYPE
200264,100264,belong,belong
200265,100265,belong,belong
200266,100266,belong,belong
200267,100267,belong,belong
200268,100268,belong,belong
200269,100269,belong,belong
200270,100270,belong,belong
200271,100271,belong,belong
200272,100272,belong,belong
200273,100273,belong,belong
200274,100274,belong,belong
200275,100275,belong,belong
200276,100276,belong,belong
200277,100277,belong,belong
200278,100278,belong,belong
200279,100279,belong,belong
200280,100280,belong,belong
200281,100281,belong,belong
200282,100282,belong,belong
200283,100283,belong,belong
200284,100284,belong,belong
200285,100285,belong,belong
200286,100286,belong,belong
200287,100287,belong,belong
200288,100288,belong,belong
200289,100289,belong,belong
200290,100290,belong,belong
200291,100291,belong,belong
200292,100292,belong,belong
200293,100293,belong,belong
200294,100294,belong,belong
200295,100295,belong,belong
200296,100296,belong,belong
200297,100297,belong,belong
200298,100298,belong,belong
200299,100299,belong,belong
200300,100300,belong,belong
200301,100301,belong,belong
200302,100302,belong,belong
200303,100303,belong,belong
200304,100304,belong,belong
200305,100305,belong,belong
200306,100306,belong,belong
200307,100307,belong,belong
200308,100308,belong,belong
200309,100309,belong,belong
200310,100310,belong,belong
200311,100311,belong,belong
200312,100312,belong,belong
200313,100313,belong,belong
200314,100314,belong,belong
200315,100315,belong,belong
200316,100316,belong,belong
200317,100317,belong,belong
200318,100318,belong,belong
200319,100319,belong,belong
200320,100320,belong,belong
200321,100321,belong,belong
200322,100322,belong,belong
200323,100323,belong,belong
200324,100324,belong,belong
200325,100325,belong,belong
200326,100326,belong,belong
200327,100327,belong,belong
200328,100328,belong,belong
200329,100329,belong,belong
200330,100330,belong,belong
200331,100331,belong,belong
200332,100332,belong,belong
200333,100333,belong,belong
200334,100334,belong,belong
200335,100335,belong,belong
200336,100336,belong,belong
200337,100337,belong,belong
200338,100338,belong,belong
200339,100339,belong,belong
200340,100340,belong,belong
200341,100341,belong,belong
200342,100342,belong,belong
200343,100343,belong,belong
200344,100344,belong,belong
200345,100345,belong,belong
200346,100346,belong,belong
200347,100347,belong,belong
200348,100348,belong,belong
200349,100349,belong,belong
200350,100350,belong,belong
200351,100351,belong,belong
200352,100352,belong,belong
200353,100353,belong,belong
200354,100354,belong,belong
200355,100355,belong,belong
200356,100356,belong,belong
200357,100357,belong,belong
200358,100358,belong,belong
200359,100359,belong,belong
200360,100360,belong,belong
200361,100361,belong,belong
200362,100362,belong,belong
200363,100363,belong,belong
200364,100364,belong,belong
200365,100365,belong,belong
200366,100366,belong,belong
200367,100367,belong,belong
200368,100368,belong,belong
200369,100369,belong,belong
200370,100370,belong,belong
200371,100371,belong,belong
200372,100372,belong,belong
200373,100373,belong,belong
200374,100374,belong,belong
200375,100375,belong,belong
200376,100376,belong,belong
200377,100377,belong,belong
200378,100378,belong,belong
200379,100379,belong,belong
200380,100380,belong,belong
200381,100381,belong,belong
200382,100382,belong,belong
200383,100383,belong,belong
200384,100384,belong,belong
200385,100385,belong,belong
200386,100386,belong,belong
200387,100387,belong,belong
200388,100388,belong,belong
200389,100389,belong,belong
200390,100390,belong,belong
200391,100391,belong,belong
200392,100392,belong,belong
200393,100393,belong,belong
200394,100394,belong,belong
200395,100395,belong,belong
200396,100396,belong,belong
200397,100397,belong,belong
200398,100398,belong,belong
200399,100399,belong,belong
200400,100400,belong,belong
200401,100401,belong,belong
200402,100402,belong,belong
200403,100403,belong,belong
200404,100404,belong,belong
200405,100405,belong,belong
200406,100406,belong,belong
200407,100407,belong,belong
200408,100408,belong,belong
200409,100409,belong,belong
200410,100410,belong,belong
200411,100411,belong,belong
200412,100412,belong,belong
200413,100413,belong,belong
200414,100414,belong,belong
200415,100415,belong,belong
200416,100416,belong,belong
200417,100417,belong,belong
200418,100418,belong,belong
200419,100419,belong,belong
200420,100420,belong,belong
200421,100421,belong,belong
200422,100422,belong,belong
200423,100423,belong,belong
200424,100424,belong,belong
200425,100425,belong,belong
200426,100426,belong,belong
200427,100427,belong,belong
200428,100428,belong,belong
200429,100429,belong,belong
200430,100430,belong,belong
200431,100431,belong,belong
200432,100432,belong,belong
200433,100433,belong,belong
200434,100434,belong,belong
200435,100435,belong,belong
200436,100436,belong,belong
200437,100437,belong,belong
200438,100438,belong,belong
200439,100439,belong,belong
200440,100440,belong,belong
200441,100441,belong,belong
200442,100442,belong,belong
200443,100443,belong,belong
200444,100444,belong,belong
200445,100445,belong,belong
200446,100446,belong,belong
200447,100447,belong,belong
200448,100448,belong,belong
200449,100449,belong,belong
200450,100450,belong,belong
200451,100451,belong,belong
200452,100452,belong,belong
200453,100453,belong,belong
200454,100454,belong,belong
200455,100455,belong,belong
200456,100456,belong,belong
200457,100457,belong,belong
200458,100458,belong,belong
200459,100459,belong,belong
200460,100460,belong,belong
200461,100461,belong,belong
200462,100462,belong,belong
200463,100463,belong,belong
200464,100464,belong,belong
200465,100465,belong,belong
200466,100466,belong,belong
200467,100467,belong,belong
200468,100468,belong,belong
200469,100469,belong,belong
200470,100470,belong,belong
200471,100471,belong,belong
200472,100472,belong,belong
200473,100473,belong,belong
200474,100474,belong,belong
200475,100475,belong,belong
200476,100476,belong,belong
200477,100477,belong,belong
200478,100478,belong,belong
200479,100479,belong,belong
200480,100480,belong,belong
200481,100481,belong,belong
200482,100482,belong,belong
200483,100483,belong,belong
200484,100484,belong,belong
200485,100485,belong,belong
200486,100486,belong,belong
200487,100487,belong,belong
200488,100488,belong,belong
200489,100489,belong,belong
200490,100490,belong,belong
200491,100491,belong,belong
200492,100492,belong,belong
200493,100493,belong,belong
200494,100494,belong,belong
200495,100495,belong,belong
200496,100496,belong,belong
200497,100497,belong,belong
200498,100498,belong,belong
200499,100499,belong,belong
200500,100500,belong,belong
200501,100501,belong,belong
200502,100502,belong,belong
200503,100503,belong,belong
200504,100504,belong,belong
200505,100505,belong,belong
200506,100506,belong,belong
200507,100507,belong,belong
200508,100508,belong,belong
200509,100509,belong,belong
200510,100510,belong,belong
200511,100511,belong,belong
200512,100512,belong,belong
200513,100513,belong,belong
200514,100514,belong,belong
200515,100515,belong,belong
200516,100516,belong,belong
200517,100517,belong,belong
200518,100518,belong,belong
200519,100519,belong,belong
200520,100520,belong,belong
200521,100521,belong,belong
200522,100522,belong,belong
200523,100523,belong,belong
200524,100524,belong,belong
200525,100525,belong,belong
200526,100526,belong,belong
200527,100527,belong,belong
200528,100528,belong,belong
200529,100529,belong,belong
200530,100530,belong,belong
200531,100531,belong,belong
200532,100532,belong,belong
200533,100533,belong,belong
200534,100534,belong,belong
200535,100535,belong,belong
200536,100536,belong,belong
200537,100537,belong,belong
200538,100538,belong,belong
200539,100539,belong,belong
200540,100540,belong,belong
200541,100541,belong,belong
200542,100542,belong,belong
200543,100543,belong,belong
200544,100544,belong,belong
200545,100545,belong,belong
200546,100546,belong,belong
200547,100547,belong,belong
200548,100548,belong,belong
200549,100549,belong,belong
200550,100550,belong,belong
200551,100551,belong,belong
200552,100552,belong,belong
200553,100553,belong,belong
200554,100554,belong,belong
200555,100555,belong,belong
200556,100556,belong,belong
200557,100557,belong,belong
200558,100558,belong,belong
200559,100559,belong,belong
200560,100560,belong,belong
200561,100561,belong,belong
200562,100562,belong,belong
200563,100563,belong,belong
200564,100564,belong,belong
200565,100565,belong,belong
200566,100566,belong,belong
200567,100567,belong,belong
200568,100568,belong,belong
200569,100569,belong,belong
200570,100570,belong,belong
200571,100571,belong,belong
200572,100572,belong,belong
200573,100573,belong,belong
200574,100574,belong,belong
200575,100575,belong,belong
200576,100576,belong,belong
200577,100577,belong,belong
200578,100578,belong,belong
200579,100579,belong,belong
200580,100580,belong,belong
200581,100581,belong,belong
200582,100582,belong,belong
200583,100583,belong,belong
200584,100584,belong,belong
200585,100585,belong,belong
200586,100586,belong,belong
200587,100587,belong,belong
200588,100588,belong,belong
200589,100589,belong,belong
200590,100590,belong,belong
200591,100591,belong,belong
200592,100592,belong,belong
200593,100593,belong,belong
200594,100594,belong,belong
200595,100595,belong,belong
200596,100596,belong,belong
200597,100597,belong,belong
200598,100598,belong,belong
200599,100599,belong,belong
200600,100600,belong,belong
200601,100601,belong,belong
200602,100602,belong,belong
200603,100603,belong,belong
200604,100604,belong,belong
200605,100605,belong,belong
200606,100606,belong,belong
200607,100607,belong,belong
200608,100608,belong,belong
200609,100609,belong,belong
200610,100610,belong,belong
200611,100611,belong,belong
200612,100612,belong,belong
200613,100613,belong,belong
200614,100614,belong,belong
200615,100615,belong,belong
200616,100616,belong,belong
200617,100617,belong,belong
200618,100618,belong,belong
200619,100619,belong,belong
200620,100620,belong,belong
200621,100621,belong,belong
200622,100622,belong,belong
200623,100623,belong,belong
200624,100624,belong,belong
200625,100625,belong,belong
200626,100626,belong,belong
200627,100627,belong,belong
200628,100628,belong,belong
200629,100629,belong,belong
200630,100630,belong,belong
200631,100631,belong,belong
200632,100632,belong,belong
200633,100633,belong,belong
200634,100634,belong,belong
200635,100635,belong,belong
200636,100636,belong,belong
200637,100637,belong,belong
200638,100638,belong,belong
200639,100639,belong,belong
200640,100640,belong,belong
200641,100641,belong,belong
200642,100642,belong,belong
200643,100643,belong,belong
200644,100644,belong,belong
200645,100645,belong,belong
200646,100646,belong,belong
200647,100647,belong,belong
200648,100648,belong,belong
200649,100649,belong,belong
200650,100650,belong,belong
200651,100651,belong,belong
200652,100652,belong,belong
200653,100653,belong,belong
200654,100654,belong,belong
200655,100655,belong,belong
200656,100656,belong,belong
200657,100657,belong,belong
200658,100658,belong,belong
200659,100659,belong,belong
