:START_ID,:END_ID,relation,:TYPE
100317,600317,from,from
100318,600318,from,from
100319,600319,from,from
100320,600320,from,from
100321,600321,from,from
100322,600322,from,from
100323,600323,from,from
100324,600324,from,from
100325,600325,from,from
100326,600326,from,from
100327,600327,from,from
100328,600328,from,from
100329,600329,from,from
100330,600330,from,from
100331,600331,from,from
100332,600332,from,from
100333,600333,from,from
100334,600334,from,from
100335,600335,from,from
100336,600336,from,from
100337,600337,from,from
100338,600338,from,from
100339,600339,from,from
100340,600340,from,from
100341,600341,from,from
100342,600342,from,from
100343,600343,from,from
100344,600344,from,from
100345,600345,from,from
100346,600346,from,from
100347,600347,from,from
100348,600348,from,from
100349,600349,from,from
100350,600350,from,from
100351,600351,from,from
100352,600352,from,from
100353,600353,from,from
100354,600354,from,from
100355,600355,from,from
100356,600356,from,from
100357,600357,from,from
100358,600358,from,from
100359,600359,from,from
100360,600360,from,from
100361,600361,from,from
100362,600362,from,from
100363,600363,from,from
100364,600364,from,from
100365,600365,from,from
100366,600366,from,from
100367,600367,from,from
100368,600368,from,from
100369,600369,from,from
100370,600370,from,from
100371,600371,from,from
100372,600372,from,from
100373,600373,from,from
100374,600374,from,from
100375,600375,from,from
100376,600376,from,from
100377,600377,from,from
100378,600378,from,from
100379,600379,from,from
100380,600380,from,from
100381,600381,from,from
100382,600382,from,from
100383,600383,from,from
100384,600384,from,from
100385,600385,from,from
100386,600386,from,from
100387,600387,from,from
100388,600388,from,from
100389,600389,from,from
100390,600390,from,from
100391,600391,from,from
100392,600392,from,from
100393,600393,from,from
100394,600394,from,from
100395,600395,from,from
100396,600396,from,from
100397,600397,from,from
100398,600398,from,from
100399,600399,from,from
100400,600400,from,from
100401,600401,from,from
100402,600402,from,from
100403,600403,from,from
100404,600404,from,from
100405,600405,from,from
100406,600406,from,from
100407,600407,from,from
100408,600408,from,from
100409,600409,from,from
100410,600410,from,from
100411,600411,from,from
100412,600412,from,from
100413,600413,from,from
100414,600414,from,from
100415,600415,from,from
100416,600416,from,from
100417,600417,from,from
100418,600418,from,from
100419,600419,from,from
100420,600420,from,from
100421,600421,from,from
100422,600422,from,from
100423,600423,from,from
100424,600424,from,from
100425,600425,from,from
100426,600426,from,from
100427,600427,from,from
100428,600428,from,from
100429,600429,from,from
100430,600430,from,from
100431,600431,from,from
100432,600432,from,from
100433,600433,from,from
100434,600434,from,from
100435,600435,from,from
100436,600436,from,from
100437,600437,from,from
100438,600438,from,from
100439,600439,from,from
100440,600440,from,from
100441,600441,from,from
100442,600442,from,from
100443,600443,from,from
100444,600444,from,from
100445,600445,from,from
100446,600446,from,from
100447,600447,from,from
100448,600448,from,from
100449,600449,from,from
100450,600450,from,from
100451,600451,from,from
100452,600452,from,from
100453,600453,from,from
100454,600454,from,from
100455,600455,from,from
100456,600456,from,from
100457,600457,from,from
100458,600458,from,from
100459,600459,from,from
100460,600460,from,from
100461,600461,from,from
100462,600462,from,from
100463,600463,from,from
100464,600464,from,from
100465,600465,from,from
100466,600466,from,from
100467,600467,from,from
100468,600468,from,from
100469,600469,from,from
100470,600470,from,from
100471,600471,from,from
100472,600472,from,from
100473,600473,from,from
100474,600474,from,from
100475,600475,from,from
100476,600476,from,from
100477,600477,from,from
100478,600478,from,from
100479,600479,from,from
100480,600480,from,from
100481,600481,from,from
100482,600482,from,from
100483,600483,from,from
100484,600484,from,from
100485,600485,from,from
100486,600486,from,from
100487,600487,from,from
100488,600488,from,from
100489,600489,from,from
100490,600490,from,from
100491,600491,from,from
100492,600492,from,from
100493,600493,from,from
100494,600494,from,from
100495,600495,from,from
100496,600496,from,from
100497,600497,from,from
100498,600498,from,from
100499,600499,from,from
100500,600500,from,from
100501,600501,from,from
100502,600502,from,from
100503,600503,from,from
100504,600504,from,from
100505,600505,from,from
100506,600506,from,from
100507,600507,from,from
100508,600508,from,from
100509,600509,from,from
100510,600510,from,from
100511,600511,from,from
100512,600512,from,from
100513,600513,from,from
100514,600514,from,from
100515,600515,from,from
100516,600516,from,from
100517,600517,from,from
100518,600518,from,from
100519,600519,from,from
100520,600520,from,from
100521,600521,from,from
100522,600522,from,from
100523,600523,from,from
100524,600524,from,from
100525,600525,from,from
100526,600526,from,from
100527,600527,from,from
100528,600528,from,from
100529,600529,from,from
100530,600530,from,from
100531,600531,from,from
100532,600532,from,from
100533,600533,from,from
100534,600534,from,from
100535,600535,from,from
100536,600536,from,from
100537,600537,from,from
100538,600538,from,from
100539,600539,from,from
100540,600540,from,from
100541,600541,from,from
100542,600542,from,from
100543,600543,from,from
100544,600544,from,from
100545,600545,from,from
100546,600546,from,from
100547,600547,from,from
100548,600548,from,from
100549,600549,from,from
100550,600550,from,from
100551,600551,from,from
100552,600552,from,from
100553,600553,from,from
100554,600554,from,from
100555,600555,from,from
100556,600556,from,from
100557,600557,from,from
100558,600558,from,from
100559,600559,from,from
100560,600560,from,from
100561,600561,from,from
100562,600562,from,from
100563,600563,from,from
100564,600564,from,from
100565,600565,from,from
100566,600566,from,from
100567,600567,from,from
100568,600568,from,from
100569,600569,from,from
100570,600570,from,from
100571,600571,from,from
100572,600572,from,from
100573,600573,from,from
100574,600574,from,from
100575,600575,from,from
100576,600576,from,from
100577,600577,from,from
100578,600578,from,from
100579,600579,from,from
100580,600580,from,from
100581,600581,from,from
100582,600582,from,from
100583,600583,from,from
100584,600584,from,from
100585,600585,from,from
100586,600586,from,from
100587,600587,from,from
100588,600588,from,from
100589,600589,from,from
100590,600590,from,from
100591,600591,from,from
100592,600592,from,from
100593,600593,from,from
100594,600594,from,from
100595,600595,from,from
100596,600596,from,from
100597,600597,from,from
100598,600598,from,from
100599,600599,from,from
100600,600600,from,from
100601,600601,from,from
100602,600602,from,from
100603,600603,from,from
100604,600604,from,from
100605,600605,from,from
100606,600606,from,from
100607,600607,from,from
100608,600608,from,from
100609,600609,from,from
100610,600610,from,from
100611,600611,from,from
100612,600612,from,from
100613,600613,from,from
100614,600614,from,from
100615,600615,from,from
100616,600616,from,from
100617,600617,from,from
100618,600618,from,from
100619,600619,from,from
100620,600620,from,from
100621,600621,from,from
100622,600622,from,from
100623,600623,from,from
100624,600624,from,from
100625,600625,from,from
100626,600626,from,from
100627,600627,from,from
100628,600628,from,from
100629,600629,from,from
100630,600630,from,from
100631,600631,from,from
100632,600632,from,from
100633,600633,from,from
100634,600634,from,from
100635,600635,from,from
100636,600636,from,from
100637,600637,from,from
100638,600638,from,from
